html_url,name,url,login,created_at,stars,f0_
https://github.com/iview/iview/issues/5199,iview/iview,https://api.github.com/repos/iview/iview,bruin-suen,2019-01-11 04:36:29 UTC,13363,2
https://github.com/iview/iview/issues/5200,iview/iview,https://api.github.com/repos/iview/iview,Llixuanjin,2019-01-11 08:01:08 UTC,13363,2
https://github.com/iview/iview/issues/5201,iview/iview,https://api.github.com/repos/iview/iview,gabdsh,2019-01-11 12:11:33 UTC,13363,2
https://github.com/kenwheeler/slick/issues/3681,kenwheeler/slick,https://api.github.com/repos/kenwheeler/slick,oscady,2019-01-11 18:08:28 UTC,13276,1
https://github.com/wekan/wekan/issues/2098,wekan/wekan,https://api.github.com/repos/wekan/wekan,xet7,2019-01-11 10:41:14 UTC,13019,3
https://github.com/wekan/wekan/issues/2100,wekan/wekan,https://api.github.com/repos/wekan/wekan,xet7,2019-01-11 13:24:02 UTC,13019,3
https://github.com/wekan/wekan/issues/2099,wekan/wekan,https://api.github.com/repos/wekan/wekan,mfilser,2019-01-11 11:17:18 UTC,13019,3
https://github.com/GoogleChrome/lighthouse/issues/6986,GoogleChrome/lighthouse,https://api.github.com/repos/GoogleChrome/lighthouse,baldevparmar,2019-01-11 09:54:46 UTC,12857,1
https://github.com/GoogleChrome/lighthouse/issues/6985,GoogleChrome/lighthouse,https://api.github.com/repos/GoogleChrome/lighthouse,devyanidubey107,2019-01-11 05:46:42 UTC,12857,1
https://github.com/GoogleChrome/lighthouse/issues/6988,GoogleChrome/lighthouse,https://api.github.com/repos/GoogleChrome/lighthouse,voronaivan93,2019-01-11 17:18:20 UTC,12857,1
https://github.com/GoogleChrome/lighthouse/issues/6984,GoogleChrome/lighthouse,https://api.github.com/repos/GoogleChrome/lighthouse,iambillmccann,2019-01-11 03:40:57 UTC,12857,1
https://github.com/tootsuite/mastodon/issues/9788,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,MirceaKitsune,2019-01-11 20:50:42 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9782,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,dansup,2019-01-11 01:11:51 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9784,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,rixx,2019-01-11 09:18:40 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9787,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,koyuawsmbrtn,2019-01-11 19:15:58 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9790,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,flyingplanes,2019-01-11 21:36:26 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9786,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,MirceaKitsune,2019-01-11 15:48:12 UTC,12847,2
https://github.com/tootsuite/mastodon/issues/9791,tootsuite/mastodon,https://api.github.com/repos/tootsuite/mastodon,shawneric,2019-01-11 21:40:12 UTC,12847,2
https://github.com/photonstorm/phaser/issues/4294,photonstorm/phaser,https://api.github.com/repos/photonstorm/phaser,xaroth8088,2019-01-11 21:43:56 UTC,12794,1
https://github.com/photonstorm/phaser/issues/4293,photonstorm/phaser,https://api.github.com/repos/photonstorm/phaser,Patrick-Sachs,2019-01-11 20:28:05 UTC,12794,1
https://github.com/photonstorm/phaser/issues/4292,photonstorm/phaser,https://api.github.com/repos/photonstorm/phaser,willblackmore,2019-01-11 16:47:56 UTC,12794,1
https://github.com/photonstorm/phaser/issues/4291,photonstorm/phaser,https://api.github.com/repos/photonstorm/phaser,andrewbaranov,2019-01-11 07:56:36 UTC,12794,1
https://github.com/facebook/flow/issues/7343,facebook/flow,https://api.github.com/repos/facebook/flow,nvie,2019-01-11 08:41:20 UTC,12790,1
https://github.com/facebook/flow/issues/7348,facebook/flow,https://api.github.com/repos/facebook/flow,aryzing,2019-01-11 23:01:36 UTC,12790,1
https://github.com/facebook/flow/issues/7347,facebook/flow,https://api.github.com/repos/facebook/flow,alexkrolick,2019-01-11 20:52:49 UTC,12790,1
https://github.com/facebook/flow/issues/7345,facebook/flow,https://api.github.com/repos/facebook/flow,carmanchris31,2019-01-11 18:38:38 UTC,12790,1
https://github.com/facebook/flow/issues/7346,facebook/flow,https://api.github.com/repos/facebook/flow,Mr-Wallet,2019-01-11 20:16:19 UTC,12790,1
https://github.com/facebook/flow/issues/7341,facebook/flow,https://api.github.com/repos/facebook/flow,TrySound,2019-01-11 01:13:50 UTC,12790,1
https://github.com/vim/vim/issues/3790,vim/vim,https://api.github.com/repos/vim/vim,KevinSjoberg,2019-01-11 09:49:09 UTC,12587,1
https://github.com/pytorch/pytorch/issues/15950,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,fmigneault,2019-01-11 00:15:25 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15970,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,mhubii,2019-01-11 19:58:03 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15957,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,deitycitian,2019-01-11 10:05:21 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15958,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,2909638069,2019-01-11 13:21:59 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15949,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,NathanSegerlind,2019-01-11 00:04:56 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15972,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,mhubii,2019-01-11 19:58:49 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15956,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,zldrobit,2019-01-11 07:52:38 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15968,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,stas00,2019-01-11 18:38:42 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15971,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,mhubii,2019-01-11 19:58:08 UTC,12574,1
https://github.com/pytorch/pytorch/issues/15952,pytorch/pytorch,https://api.github.com/repos/pytorch/pytorch,driazati,2019-01-11 02:07:28 UTC,12574,1
https://github.com/mattermost/mattermost-server/issues/10097,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,esethna,2019-01-11 20:19:43 UTC,12556,2
https://github.com/mattermost/mattermost-server/issues/10100,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,esethna,2019-01-11 21:09:47 UTC,12556,2
https://github.com/mattermost/mattermost-server/issues/10099,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,esethna,2019-01-11 20:55:39 UTC,12556,2
https://github.com/mattermost/mattermost-server/issues/10096,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,esethna,2019-01-11 20:14:42 UTC,12556,2
https://github.com/mattermost/mattermost-server/issues/10098,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,esethna,2019-01-11 20:50:05 UTC,12556,2
https://github.com/mattermost/mattermost-server/issues/10091,mattermost/mattermost-server,https://api.github.com/repos/mattermost/mattermost-server,swood,2019-01-11 12:40:42 UTC,12556,2
https://github.com/facebook/draft-js/issues/1974,facebook/draft-js,https://api.github.com/repos/facebook/draft-js,yiblet,2019-01-11 19:09:27 UTC,12548,1
https://github.com/facebook/draft-js/issues/1973,facebook/draft-js,https://api.github.com/repos/facebook/draft-js,phuczeero,2019-01-11 10:32:42 UTC,12548,1
https://github.com/shadowsocks/shadowsocks-android/issues/2068,shadowsocks/shadowsocks-android,https://api.github.com/repos/shadowsocks/shadowsocks-android,TianyiKing,2019-01-11 04:18:19 UTC,12536,1
https://github.com/CymChad/BaseRecyclerViewAdapterHelper/issues/2623,CymChad/BaseRecyclerViewAdapterHelper,https://api.github.com/repos/CymChad/BaseRecyclerViewAdapterHelper,sicelex,2019-01-11 02:50:22 UTC,12533,1
https://github.com/pixijs/pixi.js/issues/5347,pixijs/pixi.js,https://api.github.com/repos/pixijs/pixi.js,TomMettam,2019-01-11 00:00:22 UTC,12473,2
https://github.com/xitu/gold-miner/issues/4975,xitu/gold-miner,https://api.github.com/repos/xitu/gold-miner,leviding,2019-01-11 08:31:24 UTC,12403,1
https://github.com/google/leveldb/issues/650,google/leveldb,https://api.github.com/repos/google/leveldb,rhettdyao,2019-01-11 09:23:22 UTC,12231,1
https://github.com/DefinitelyTyped/DefinitelyTyped/issues/32065,DefinitelyTyped/DefinitelyTyped,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped,Eduardo-Vieira,2019-01-11 13:56:42 UTC,12208,2
https://github.com/DefinitelyTyped/DefinitelyTyped/issues/32058,DefinitelyTyped/DefinitelyTyped,https://api.github.com/repos/DefinitelyTyped/DefinitelyTyped,geek4freek,2019-01-11 04:18:12 UTC,12208,2
https://github.com/afollestad/material-dialogs/issues/1700,afollestad/material-dialogs,https://api.github.com/repos/afollestad/material-dialogs,INTKILOW,2019-01-11 02:37:41 UTC,12206,1
https://github.com/afollestad/material-dialogs/issues/1701,afollestad/material-dialogs,https://api.github.com/repos/afollestad/material-dialogs,rupak0577,2019-01-11 05:06:33 UTC,12206,1
https://github.com/pingcap/tidb/issues/9018,pingcap/tidb,https://api.github.com/repos/pingcap/tidb,ericisme,2019-01-11 04:02:43 UTC,12150,1
https://github.com/pingcap/tidb/issues/9019,pingcap/tidb,https://api.github.com/repos/pingcap/tidb,jianhaiqing,2019-01-11 05:38:56 UTC,12150,1
https://github.com/pingcap/tidb/issues/9016,pingcap/tidb,https://api.github.com/repos/pingcap/tidb,tshqin,2019-01-11 03:13:41 UTC,12150,1
https://github.com/pingcap/tidb/issues/9017,pingcap/tidb,https://api.github.com/repos/pingcap/tidb,shenlijungg,2019-01-11 03:42:34 UTC,12150,1
https://github.com/pingcap/tidb/issues/9014,pingcap/tidb,https://api.github.com/repos/pingcap/tidb,alex-lx,2019-01-11 02:58:04 UTC,12150,1
https://github.com/react-bootstrap/react-bootstrap/issues/3410,react-bootstrap/react-bootstrap,https://api.github.com/repos/react-bootstrap/react-bootstrap,Daarien,2019-01-11 14:11:16 UTC,11835,1
